mz,intensity
410.3358524,0
410.3369677,0
410.3603899,0
410.3615053,0
410.3626207,0
410.3637361,0
410.3648515,1456.231323
410.3659669,2384.890381
410.3670823,2726.744141
410.3681978,2174.637939
410.3693132,1099.567871
410.370429,0
410.3715444,0
410.3726598,0
410.3737753,0
410.8672466,0
410.8683641,0
410.8694815,0
410.870599,0
410.8717165,1006.41156
410.8728339,1866.271606
410.8739514,2230.915039
410.8750689,1750.103882
410.8761864,740.3501587
410.8773039,0
410.8784214,0
410.8795389,0
410.8806564,0
410.8985372,0
410.8996548,0
410.9007724,0
410.90189,0
410.9030076,1018.363831
410.9041252,1876.02063
410.9052428,2307.854248
410.9063604,2067.827881
410.907478,1296.512939
410.9085958,0
410.9097134,0
410.9108311,0
410.9119487,0
411.100895,0
411.1020134,0
411.1031318,0
411.1042503,0
411.1053687,964.2268066
411.1064871,2485.250732
411.1076056,4196.811523
411.108724,4994.378906
411.1098424,4261.485352
411.1109609,2490.641357
411.1120793,839.0776367
411.1131979,0
411.1143164,0
411.1154349,0
411.1165533,0
411.2854951,0
411.2866143,0
411.2877334,0
411.2888526,0
411.2899718,1538.306152
411.291091,2580.330078
411.2922102,2719.23999
411.2933293,1845.438965
411.2944485,706.9552612
411.2955678,0
411.296687,0
411.2978062,0
411.2989254,0
411.3201914,0
411.3213107,0
411.32243,0
411.3235493,0
411.3246687,1223.330933
411.325788,2250.88501
411.3269073,2901.8479
411.3280267,2779.167725
411.329146,1956.74353
411.3302653,922.5891113
411.3313851,0
411.3325044,0
411.3336238,0
411.3347431,0
411.8411634,0
411.8422849,0
411.8434063,0
411.8445277,0
411.8456492,401.6072693
411.8467706,1177.209351
411.8478921,2751.156006
411.8490136,5931.841797
411.850135,7690.752441
411.8512565,6127.540039
411.852378,2233.188965
411.8534995,687.7733154
411.854621,0
411.8557425,0
411.856864,0
411.8579855,0
411.9017275,0
411.9028492,0
411.9039709,0
411.9050926,0
411.9062143,933.9157104
411.907336,1867.028076
411.9084577,2792.695313
411.9095794,3263.258789
411.9107011,3046.761719
411.9118228,2272.839111
411.9129446,1309.684814
411.9140665,0
411.9151882,0
411.91631,0
411.9174317,0
412.190151,0
412.1912739,0
412.1923967,0
412.1935196,0
412.1946425,910.8682251
412.1957654,1928.590088
412.1968883,2437.513184
412.1980111,2078.768555
412.199134,1167.252441
412.2002574,0
412.2013803,0
412.2025032,0
412.2036261,0
412.8421822,0
412.8433077,0
412.8444333,0
412.8455588,0
412.8466843,1336.255981
412.8478099,2697.787109
412.8489354,4144.271484
412.850061,4897.39209
412.8511865,4427.85498
412.8523121,2959.620605
412.8534377,1353.084473
412.8545635,0
412.8556891,0
412.8568147,0
412.8579403,0
413.2589418,0
413.260069,0
413.2611962,0
413.2623235,0
413.2634507,1085.596802
413.264578,4020.786621
413.2657052,9070.575195
413.2668325,14454.36914
413.2679597,16192.93457
413.269087,11555.68555
413.2702143,6420.849121
413.2713416,2089.207275
413.2724688,828.414856
413.2735962,0
413.2747235,0
413.2758508,0
413.2769781,0
413.3559006,0
413.3570282,0
413.3581558,0
413.3592835,0
413.3604111,1371.398193
413.3615388,2882.388672
413.3626664,4129.904785
413.3637941,4163.960449
413.3649217,2892.643799
413.3660494,1239.849731
413.3671774,0
413.368305,0
413.3694327,0
413.3705604,0
413.7531112,0
413.7542404,0
413.7553697,0
413.7564989,0
413.7576282,1440.157227
413.7587575,2281.347656
413.7598868,2528.496094
413.761016,2006.054199
413.7621453,1045.075928
413.7632747,0
413.764404,0
413.7655333,0
413.7666626,0
413.8581516,0
413.8592813,0
413.860411,0
413.8615407,0
413.8626704,1288.808594
413.8638001,2008.174438
413.8649298,2492.378418
413.8660595,2590.322266
413.8671892,2231.903809
413.8683189,1483.902344
413.869449,0
413.8705787,0
413.8717084,0
413.8728382,0
414.2628745,0
414.2640059,0
414.2651372,0
414.2662686,0
414.2673999,1394.17981
414.2685313,3126.119873
414.2696626,4639.507324
414.270794,4815.172363
414.2719254,3415.998291
414.2730568,1417.544312
414.2741886,0
414.2753199,0
414.2764513,0
414.2775827,0
414.8415948,0
414.8427286,0
414.8438623,0
414.844996,0
414.8461297,934.8208008
414.8472635,1927.949463
